Subnet,IP,Hostname,MAC,Vendor,OS,Ports,HTTP Server,HTTP Title,SSH Banner
10.1.1.0/24,10.1.1.1,,1c:b7:2c:35:a4:a0,ASUSTekC,,80,httpd/2.0,,
10.1.1.0/24,10.1.1.2,,d4:5d:64:e0:69:a0,ASUSTekC,,80,httpd/2.0,,
10.1.1.0/24,10.1.1.3,,14:cc:20:ac:64:06,Tp-LinkT,,"22,80,443",,,SSH-2.0-dropbear
10.1.1.0/24,10.1.1.4,,2c:41:38:4a:00:00,HewlettP,,"22,23,80",eHTTP v2.0,,SSH-2.0-Mocana SSH 5.3.1
10.1.1.0/24,10.1.1.5,,84:eb:ef:d7:f7:41,Cisco,,"22,80,443",cisco-IOS,,
10.1.1.0/24,10.1.1.10,,ac:43:30:00:03:15,VersaNet,,,,,
10.1.1.0/24,10.1.1.115,,b0:a4:60:74:9b:27,IntelCor,,,,,
10.1.1.0/24,10.1.1.118,,ec:2c:73:01:29:b3,,,,,,
10.1.1.0/24,10.1.1.161,DESKTOP-BOEF6GK.Humbug,,,,445,,,
10.1.1.0/24,10.1.1.166,,70:c9:32:e6:00:f1,,,,,,
10.1.1.0/24,10.1.1.172,,4c:e6:c0:ec:51:b9,Apple,,,,,
10.1.1.0/24,10.1.1.178,,84:cc:a8:68:a1:00,Espressi,,,,,
10.1.1.0/24,10.1.1.186,,48:b0:2d:2b:6b:fb,NVIDIA,,"8443,9000",,,
10.1.1.0/24,10.1.1.190,,4c:fc:aa:b2:70:29,Tesla,,,,,
10.1.1.0/24,10.1.1.205,,4c:fc:aa:1f:85:4d,Tesla,,,,,
10.1.1.0/24,10.1.1.210,COLLECTO2,00:30:05:e2:ae:6a,FujitsuS,,"25,80,110,143,443,445,3306,3389",Microsoft-IIS/6.0,,
10.1.1.0/24,10.1.1.211,,40:c7:11:18:fe:d9,Apple,,,,,
10.1.1.0/24,10.1.1.212,,48:e1:5c:b2:bc:1f,,,5000,,,
10.1.1.0/24,10.1.1.216,,7c:9e:bd:e9:aa:9c,Espressi,,,,,
10.1.1.0/24,10.1.1.224,DESKTOP-GARAGE,28:92:4a:cb:71:cf,HewlettP,,"445,3389",,,
10.1.1.0/24,10.1.1.231,,38:8c:50:17:7d:e7,LGElectr,,3000,,,
